"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","10u","","","","Capacitor_THT:C_Radial_D6.3mm_H5.0mm_P2.50mm","~"
"D1,D2,D3,D4,D5,D6,D7","7","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D8,D9,D10,D11","4","LED","","","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","~"
"J2","1","Conn_01x03_Pin","","","","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_3-G-5.08_1x03_P5.08mm_Horizontal","~"
"J3","1","CVOUT","","","","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~"
"J4","1","PDOUT","","","","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~"
"J5,J6","2","AudioJack3","","","","Connector_Audio:Jack_6.35mm_Neutrik_NJ3FD-V_Vertical","~"
"Q1,Q2,Q3,Q4","4","Q_NPN_BCE","","","","Package_TO_SOT_THT:TO-92","~"
"R1,R4,R18","3","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2,R3,R7,R9,R11,R13,R14,R15,R16,R19,R20,R21,R22","13","100K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R5,R6,R25,R26,R27,R29","6","100","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R8,R10","2","10K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R12,R24,R30,R31,R32,R33","6","50K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R17,R23","2","5K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R28","1","400","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"RV1,RV2,RV3,RV4,RV5","5","100K","","","","Potentiometer_THT:Potentiometer_Bourns_3386W_Horizontal","~"
"SW1","1","SW_DPDT_x2","","","","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","~"
"U1","1","TL074","","","","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U2,U3","2","TL072","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
